dimension,feature,pearson,spearman,mean_abs_sensitivity
z1,avg_touch_x,-0.4816001724187753,-0.65033986116598,0.19717316329479218
z1,avg_touch_y,-0.20322065933808442,-0.16797674812348326,0.24805937707424164
z1,halfspace_share,0.1928377691437371,0.3097750293121054,0.08134040236473083
z1,passes_p90,0.3992281923718273,0.49543997813874213,0.3203762471675873
z1,forward_pass_rate,0.47541781185957305,0.5506090801397281,0.14484168589115143
z1,progressive_passes_p90,0.5018732666137307,0.6301859278470077,0.243784561753273
z1,progressive_carries_p90,-0.22680227452999208,-0.1335506276499552,0.3051294684410095
z1,final_third_entries_p90,0.18678249654411316,0.2836960175652939,0.18148519098758698
z1,penalty_area_entries_p90,-0.6226381765175053,-0.6052329254875342,0.34033671021461487
z1,shot_assists_p90,-0.390974492152198,-0.34727153180236553,0.15871649980545044
z1,xg_p90,-0.7321846283376263,-0.5740357795813631,0.4585704505443573
z1,pressures_p90,-0.19696144404110383,-0.22606007949656967,0.06966499984264374
z1,recoveries_p90,-0.0019018055334429358,0.034045458720412064,0.17416012287139893
z1,tackles_p90,0.2257773671168435,0.23638873755293244,0.2717462182044983
z1,interceptions_p90,0.26772091378727997,0.3475037944899508,0.2008536458015442
z2,avg_touch_x,-0.6363615769080662,-0.5850716180371353,0.26569002866744995
z2,avg_touch_y,-0.1187130586064444,-0.07027778091314409,0.1270848959684372
z2,halfspace_share,-0.10543334492467514,-0.07689304827177396,0.12873950600624084
z2,passes_p90,-0.32686577600429295,-0.3146137980519842,0.10092675685882568
z2,forward_pass_rate,0.4455724983820054,0.4079741426446465,0.12379668653011322
z2,progressive_passes_p90,-0.046633509501507436,0.038837450314305466,0.1062646135687828
z2,progressive_carries_p90,-0.6923735329053952,-0.672904515723905,0.48076531291007996
z2,final_third_entries_p90,-0.5024110221379754,-0.5240497967221428,0.24778828024864197
z2,penalty_area_entries_p90,-0.6426650487264953,-0.6391049386554648,0.32145455479621887
z2,shot_assists_p90,-0.4666082908897869,-0.4335519652569119,0.10947956889867783
z2,xg_p90,-0.45446908062669156,-0.5146324427603235,0.36873435974121094
z2,pressures_p90,-0.2815682103962656,-0.27610377167644895,0.04700849577784538
z2,recoveries_p90,-0.4517875401803334,-0.43158633872278135,0.4122104346752167
z2,tackles_p90,-0.03442573464342495,-0.09280647349550082,0.24274058640003204
z2,interceptions_p90,0.05431693825505643,0.0729913830224062,0.2025851011276245
z3,avg_touch_x,-0.632243599544679,-0.45063197697386986,0.3338678777217865
z3,avg_touch_y,-0.040746187425990905,-0.029341159207630228,0.2511082589626312
z3,halfspace_share,0.07486110085486809,0.10799112251142655,0.1225169375538826
z3,passes_p90,-0.5973390244492565,-0.5868775620106083,0.4184812307357788
z3,forward_pass_rate,0.473849816242564,0.3664785160309372,0.2190992534160614
z3,progressive_passes_p90,-0.12619726566959757,-0.12383657657666398,0.14154233038425446
z3,progressive_carries_p90,-0.4459352206505366,-0.4578541948790882,0.15924124419689178
z3,final_third_entries_p90,-0.5384160649977764,-0.6338497573866904,0.4416055381298065
z3,penalty_area_entries_p90,-0.5657603408254709,-0.5823130556677514,0.31020453572273254
z3,shot_assists_p90,-0.6291333383637091,-0.6676429561274488,0.4111183285713196
z3,xg_p90,0.09399679058140605,-0.17167187835250766,0.2513449490070343
z3,pressures_p90,-0.37944321055223795,-0.3475524683569076,0.13531643152236938
z3,recoveries_p90,-0.3744600360079647,-0.40334976681724866,0.15597759187221527
z3,tackles_p90,-0.37868948067033126,-0.4100606008945975,0.4467693567276001
z3,interceptions_p90,-0.17834474617301344,-0.15897598590162135,0.11191412806510925
z4,avg_touch_x,-0.8127023911437696,-0.8629396692815623,0.3667437732219696
z4,avg_touch_y,-0.1312977892790891,-0.06658615045995823,0.32486051321029663
z4,halfspace_share,0.37560885693500157,0.3883916535807996,0.3227357566356659
z4,passes_p90,0.26673850616010086,0.2654769226740677,0.2753702402114868
z4,forward_pass_rate,0.8264092175505274,0.8586510582254425,0.41203635931015015
z4,progressive_passes_p90,0.6637857847735485,0.7497090633609018,0.34666508436203003
z4,progressive_carries_p90,-0.05306032703001489,-0.10680280828729173,0.17023856937885284
z4,final_third_entries_p90,0.20181429260737088,0.12424710982156999,0.1674833744764328
z4,penalty_area_entries_p90,-0.6341738647536109,-0.6831753006635044,0.3175293803215027
z4,shot_assists_p90,-0.49857616046107966,-0.5005913688862784,0.3475853204727173
z4,xg_p90,-0.5562072656477056,-0.6319530358057724,0.24227625131607056
z4,pressures_p90,-0.4871983202616676,-0.5843142032930245,0.1733580231666565
z4,recoveries_p90,0.1026750359771424,0.08852225625251514,0.27235010266304016
z4,tackles_p90,-0.1463745186573973,-0.16565818761825457,0.28801167011260986
z4,interceptions_p90,0.10534848116816478,0.09454520159136548,0.13310998678207397
