feature_a,feature_b,pearson_r
avg_touch_x,forward_pass_rate,-0.8537739473534692
passes_p90,final_third_entries_p90,0.7383139416436765
passes_p90,progressive_passes_p90,0.6664461255181606
progressive_passes_p90,final_third_entries_p90,0.6540709033129922
penalty_area_entries_p90,shot_assists_p90,0.6144937871677674
avg_touch_x,penalty_area_entries_p90,0.5793974979986098
forward_pass_rate,progressive_passes_p90,0.5792680261018835
progressive_carries_p90,final_third_entries_p90,0.5036180809148071
forward_pass_rate,penalty_area_entries_p90,-0.5011813539105947
avg_touch_x,pressures_p90,0.49847660267280147
forward_pass_rate,pressures_p90,-0.49816719332969095
avg_touch_x,shot_assists_p90,0.4230600951047545
passes_p90,recoveries_p90,0.4157374097551495
halfspace_share,progressive_passes_p90,0.4027994471221736
avg_touch_x,xg_p90,0.4003135376440839
avg_touch_x,progressive_passes_p90,-0.39667104490401545
progressive_passes_p90,xg_p90,-0.3629028037513657
forward_pass_rate,xg_p90,-0.3619099841401613
progressive_passes_p90,pressures_p90,-0.35039707393333797
final_third_entries_p90,recoveries_p90,0.348650815868578
forward_pass_rate,shot_assists_p90,-0.34497053039887093
passes_p90,progressive_carries_p90,0.32470961074270366
progressive_passes_p90,recoveries_p90,0.31329709600458555
halfspace_share,passes_p90,0.3084241853911561
halfspace_share,final_third_entries_p90,0.3048770826478733
progressive_carries_p90,recoveries_p90,0.2962731489091818
progressive_carries_p90,penalty_area_entries_p90,0.28984448941620194
halfspace_share,forward_pass_rate,0.2893798008956641
progressive_passes_p90,penalty_area_entries_p90,-0.28350231844029256
progressive_passes_p90,progressive_carries_p90,0.27233199396398483
penalty_area_entries_p90,xg_p90,0.26962145893521167
passes_p90,xg_p90,-0.2688517846175662
penalty_area_entries_p90,pressures_p90,0.2618426841416469
avg_touch_x,progressive_carries_p90,0.2584719959277362
pressures_p90,tackles_p90,0.25674016771779407
halfspace_share,penalty_area_entries_p90,-0.22668147515807557
passes_p90,tackles_p90,0.22236583764749374
shot_assists_p90,pressures_p90,0.203230287508195
recoveries_p90,tackles_p90,0.19568279448556372
xg_p90,pressures_p90,0.18690553866923268
tackles_p90,interceptions_p90,0.184570297970806
avg_touch_x,final_third_entries_p90,0.18119373645843959
passes_p90,interceptions_p90,0.1810424018610026
progressive_carries_p90,shot_assists_p90,0.16472551434495386
final_third_entries_p90,xg_p90,-0.16252468166906214
shot_assists_p90,recoveries_p90,0.16015947671549532
passes_p90,shot_assists_p90,0.14752119686165918
progressive_passes_p90,shot_assists_p90,-0.14497981600784057
final_third_entries_p90,interceptions_p90,0.14374561431636018
shot_assists_p90,xg_p90,0.14270302759744594
avg_touch_x,tackles_p90,0.13823872549570745
final_third_entries_p90,shot_assists_p90,0.13812279385831402
avg_touch_x,halfspace_share,-0.13801417593231713
penalty_area_entries_p90,recoveries_p90,0.13313755427896024
pressures_p90,interceptions_p90,0.12950783928599316
final_third_entries_p90,tackles_p90,0.12148391680458737
progressive_passes_p90,interceptions_p90,0.12134789216224136
forward_pass_rate,progressive_carries_p90,-0.11999304812876418
progressive_carries_p90,pressures_p90,0.11293782719482749
avg_touch_y,progressive_carries_p90,0.11286938945096828
forward_pass_rate,tackles_p90,-0.1092479582374591
final_third_entries_p90,penalty_area_entries_p90,0.1068869224667895
halfspace_share,recoveries_p90,0.09971527927192828
avg_touch_y,passes_p90,-0.09940220071689407
passes_p90,forward_pass_rate,0.09300236502785886
avg_touch_x,passes_p90,0.08346309617295529
halfspace_share,shot_assists_p90,-0.08096632936162353
progressive_carries_p90,interceptions_p90,0.08094721251577762
progressive_carries_p90,tackles_p90,0.08041865315420943
avg_touch_y,halfspace_share,-0.08033779140216764
xg_p90,interceptions_p90,-0.08001569650905227
halfspace_share,pressures_p90,-0.07450625089418254
avg_touch_y,progressive_passes_p90,-0.07250746080289161
forward_pass_rate,final_third_entries_p90,0.07213332630897579
avg_touch_y,interceptions_p90,-0.06764785248334593
xg_p90,recoveries_p90,-0.06637518627230761
halfspace_share,interceptions_p90,0.06553174713677733
recoveries_p90,interceptions_p90,0.06538636948561975
avg_touch_y,penalty_area_entries_p90,0.062206662857047054
passes_p90,penalty_area_entries_p90,0.051288260826464094
avg_touch_x,recoveries_p90,0.0484033363770729
forward_pass_rate,recoveries_p90,0.04654365294705393
avg_touch_x,avg_touch_y,0.046370234187987754
halfspace_share,tackles_p90,-0.04517864903347376
halfspace_share,xg_p90,0.04234052627987516
halfspace_share,progressive_carries_p90,0.03804274443620658
progressive_passes_p90,tackles_p90,0.03748620055235265
pressures_p90,recoveries_p90,0.03535855503659668
progressive_carries_p90,xg_p90,0.032541049370207596
avg_touch_y,xg_p90,-0.02962077486158489
avg_touch_y,recoveries_p90,0.029068383166157993
xg_p90,tackles_p90,-0.028827317824730216
avg_touch_y,forward_pass_rate,-0.027070226297228682
avg_touch_y,tackles_p90,-0.026483727054197184
penalty_area_entries_p90,interceptions_p90,-0.023875951819043676
forward_pass_rate,interceptions_p90,0.01864049505245394
shot_assists_p90,interceptions_p90,-0.014684081465114617
passes_p90,pressures_p90,-0.014126073604685402
final_third_entries_p90,pressures_p90,0.013590744857086792
shot_assists_p90,tackles_p90,0.01205959394094313
avg_touch_x,interceptions_p90,-0.01134603426471201
penalty_area_entries_p90,tackles_p90,-0.009973360570543831
avg_touch_y,shot_assists_p90,-0.005599370664619729
avg_touch_y,pressures_p90,0.0024361075037092543
avg_touch_y,final_third_entries_p90,0.0023800228652803975
